long,lat,calle_nombre,calle_altura,modelo,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.489349349430704,-34.6263597418989,"JUSTO, JUAN B. AV.",6967,MECÁNICA,Floresta,Comuna 10,1407,C1407FAH
-58.4971351156299,-34.63088701989889,"JUSTO, JUAN B. AV.",7694,MECÁNICA,Velez Sarsfield,Comuna 10,1407,C1407FBO
-58.49833666962971,-34.6313076919989,"JUSTO, JUAN B. AV.",7754,MECÁNICA,Velez Sarsfield,Comuna 10,1407,C1407FBP
-58.5006596979295,-34.631921826199004,"JUSTO, JUAN B. AV.",7927,MECÁNICA,Velez Sarsfield,Comuna 10,1407,C1407FBE
-58.502551872929295,-34.633228683999,"JUSTO, JUAN B. AV.",8160,MECÁNICA,Villa Luro,Comuna 10,1407,C1407FBT
-58.507782373528606,-34.6344061915992,"JUSTO, JUAN B. AV.",8447,MECÁNICA,Villa Luro,Comuna 10,1407,C1407FBJ
-58.512721068527895,-34.6337986548996,"JUSTO, JUAN B. AV.",8855,MECÁNICA,Versalles,Comuna 10,1408,C1408AKE
-58.5147730880276,-34.633115625099805,"JUSTO, JUAN B. AV.",8991,MECÁNICA,Versalles,Comuna 10,1408,C1408AKF
-58.51768856422711,-34.632806955599996,"JUSTO, JUAN B. AV.",9123,MECÁNICA,Versalles,Comuna 10,1408,C1408AKH
-58.523731420926396,-34.6342176539003,"JUSTO, JUAN B. AV.",9459,MECÁNICA,Versalles,Comuna 10,1408,C1408AKL
-58.525933002226104,-34.634502359500395,"JUSTO, JUAN B. AV.",9617,MECÁNICA,Versalles,Comuna 10,1408,C1408ALA
-58.419162488736895,-34.5751458725995,"KENNEDY, JOHN FITZGERALD",2945,MECÁNICA,Palermo,Comuna 14,1425,C1425FMB
-58.522376656027205,-34.6428548751993,LA CAUTIVA,311,MECÁNICA,Liniers,Comuna 9,1408,C1408GPA
-58.4666818818301,-34.5721759731029,LA PAMPA,3656,MECÁNICA,Belgrano,Comuna 13,1430,C1430BXH
-58.4786251761289,-34.578971155503,LA PAMPA,4992,MECÁNICA,Villa Ortuzar,Comuna 15,1431,C1431CQJ
-58.4844580640283,-34.582364203603,LA PAMPA,5542,MECÁNICA,Parque Chas,Comuna 15,1431,C1431CQV
-58.4213408200414,-34.6445039693926,LA PLATA AV.,2550,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437DHQ
-58.419987938241704,-34.6460869080924,LA PLATA AV.,2690,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437DHR
-58.41703303824221,-34.648012286092,LA PLATA AV.,2938,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437DHU
-58.4065550087424,-34.6293989418932,LA RIOJA,1601,MECÁNICA,Parque Patricios,Comuna 4,1244,C1244ABI
-58.4058303110429,-34.6352311161926,LA RIOJA,2043,MECÁNICA,Parque Patricios,Comuna 4,1244,C1244ABQ
-58.478770233633206,-34.642268051296604,LACARRA AV.,805,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407JQQ
-58.4711052253347,-34.6483331783954,LACARRA AV.,1511,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407JRE
-58.499332833926104,-34.580562150704196,LADINES,2450,MECÁNICA,Villa Pueyrredon,Comuna 12,1419,C1419EYB
-58.512790585324794,-34.5888715577042,LADINES,3524,MECÁNICA,Villa Devoto,Comuna 11,1419,C1419EYX
-58.5165848769244,-34.5912115661042,LADINES,3820,MECÁNICA,Villa Devoto,Comuna 11,1419,C1419EZD
-58.443709415337295,-34.6304730796955,"LAFERRERE, GREGORIO DE",1186,MECÁNICA,Parque Chacabuco,Comuna 7,1406,C1406HEB
-58.4457739743371,-34.6311393846956,"LAFERRERE, GREGORIO DE",1314,MECÁNICA,Parque Chacabuco,Comuna 7,1406,C1406HEF
-58.4488182527367,-34.6320994337957,"LAFERRERE, GREGORIO DE",1516,MECÁNICA,Parque Chacabuco,Comuna 7,1406,C1406HEJ
-58.450992868436394,-34.6327982160957,"LAFERRERE, GREGORIO DE",1784,MECÁNICA,Parque Chacabuco,Comuna 7,1406,C1406HEN
-58.453579585936204,-34.6336204793958,"LAFERRERE, GREGORIO DE",2004,MECÁNICA,Flores,Comuna 7,1406,C1406HET
-58.4561266416359,-34.6344286343959,"LAFERRERE, GREGORIO DE",2242,MECÁNICA,Flores,Comuna 7,1406,C1406HEX
-58.4591836871356,-34.6366824455959,"LAFERRERE, GREGORIO DE",2430,MECÁNICA,Flores,Comuna 7,1406,C1406HFB
-58.4609842262354,-34.6378373002959,"LAFERRERE, GREGORIO DE",2640,MECÁNICA,Flores,Comuna 7,1406,C1406HFF
-58.462596462135295,-34.6389591139959,"LAFERRERE, GREGORIO DE",2896,MECÁNICA,Flores,Comuna 7,1406,C1406HFJ
-58.465285899935,-34.640763477995804,"LAFERRERE, GREGORIO DE",3262,MECÁNICA,Flores,Comuna 7,1406,C1406HFR
-58.46759811723479,-34.6422155156958,"LAFERRERE, GREGORIO DE",3460,MECÁNICA,Flores,Comuna 7,1406,C1406HFV
-58.468763730134704,-34.642953486795804,"LAFERRERE, GREGORIO DE",3584,MECÁNICA,Parque Avellaneda,Comuna 9,1406,C1406HFX
-58.486733619533204,-34.658235375595396,"LAFERRERE, GREGORIO DE",5416,MECÁNICA,Mataderos,Comuna 9,1440,C1440BIL
-58.44122273153971,-34.6608732029922,LAFUENTE,2949,MECÁNICA,Villa Soldati,Comuna 8,1437,C1437BUG
