"Longitud","Latitud","Calle","Altura","Materiales","Barrio","Comuna","Calle2","Direccion","Tipo"
"-58.3874790524428","-34.5970395213953","ALVEAR, MARCELO T. DE",1435,"MECÁNICA","Recoleta","Comuna 2","1060.0","C1060AAA","campanas_verdes"
"-58.4009411848409","-34.5965099221962","ALVEAR, MARCELO T. DE",2349,"MECÁNICA","Recoleta","Comuna 2","1122.0","C1122AAK","campanas_verdes"
"-58.4148614810417","-34.6358047836931","ALZAGA",2050,"MECÁNICA","Boedo","Comuna 5","1240.0","C1240AAB","campanas_verdes"
"-58.487587465932","-34.6426750628971","AMEGHINO, FLORENTINO, DR.",609,"MECÁNICA","Parque Avellaneda","Comuna 9","1407.0","C1407JAC","campanas_verdes"
"-58.4735118309348","-34.654118505395","AMEGHINO, FLORENTINO, DR.",1839,"MECÁNICA","Parque Avellaneda","Comuna 9","1407.0","C1407JBA","campanas_verdes"
"-58.5158042224289","-34.6551655734976","ANDALGALA",1527,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ENE","campanas_verdes"
"-58.5144129965292","-34.6562646093974","ANDALGALA",1653,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ENG","campanas_verdes"
"-58.5036314856313","-34.6650237983958","ANDALGALA",2489,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ENW","campanas_verdes"
"-58.5024464488315","-34.6659326285957","ANDALGALA",2591,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ENY","campanas_verdes"
"-58.4804911248292","-34.5863720511023","ANDONAEGUI",1382,"MECÁNICA","Parque Chas","Comuna 15","1427.0","C1427BEJ","campanas_verdes"
"-58.4965501998256","-34.5680527086053","ANDONAEGUI",3350,"MECÁNICA","Villa Urquiza","Comuna 12","1431.0","C1431DWT","campanas_verdes"
"-58.4988659499251","-34.5651690220057","ANDONAEGUI",3570,"MECÁNICA","Villa Urquiza","Comuna 12","1431.0","C1431DWX","campanas_verdes"
"-58.5003370692248","-34.563154879406","ANDONAEGUI",3746,"MECÁNICA","Saavedra","Comuna 12","1431.0","C1431DXB","campanas_verdes"
"-58.5021286702244","-34.5608751566063","ANDONAEGUI",3944,"MECÁNICA","Saavedra","Comuna 12","1431.0","C1431DXF","campanas_verdes"
"-58.4689843111363","-34.6673593435934","AQUINO",4651,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439ADC","campanas_verdes"
"-58.4752210249358","-34.6731373935932","AQUINO",5437,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439ADS","campanas_verdes"
"-58.4431768199363","-34.614757105897","ARANGUREN, JUAN F., DR.",761,"MECÁNICA","Caballito","Comuna 6","1405.0","C1405CRO","campanas_verdes"
"-58.4488710683357","-34.6170916158972","ARANGUREN, JUAN F., DR.",1125,"MECÁNICA","Caballito","Comuna 6","1405.0","C1405CRW","campanas_verdes"
"-58.4514961254354","-34.6180989673973","ARANGUREN, JUAN F., DR.",1361,"MECÁNICA","Caballito","Comuna 6","1405.0","C1405CSA","campanas_verdes"
"-58.4541992435351","-34.6191362126973","ARANGUREN, JUAN F., DR.",1579,"MECÁNICA","Caballito","Comuna 6","1406.0","C1406FWA","campanas_verdes"
"-58.4607785422343","-34.6213992356975","ARANGUREN, JUAN F., DR.",2015,"MECÁNICA","Flores","Comuna 7","1406.0","C1406FWK","campanas_verdes"
"-58.4629810567341","-34.6222431720976","ARANGUREN, JUAN F., DR.",2207,"MECÁNICA","Flores","Comuna 7","1406.0","C1406FWO","campanas_verdes"
"-58.4674125885335","-34.6236664924977","ARANGUREN, JUAN F., DR.",2551,"MECÁNICA","Flores","Comuna 7","1406.0","C1406FWU","campanas_verdes"
"-58.4910611816307","-34.6307948172985","ARANGUREN, JUAN F., DR.",4475,"MECÁNICA","Velez Sarsfield","Comuna 10","1407.0","C1407ELW","campanas_verdes"
"-58.4948977420303","-34.6321109816986","ARANGUREN, JUAN F., DR.",4821,"MECÁNICA","Velez Sarsfield","Comuna 10","1407.0","C1407EME","campanas_verdes"
